Order_ID,Order_Date,Customer_Name,Customer_Segment,Country,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Sales,Shipping_Cost,Profit,Payment_Method,Expected_Total_Sales,Recorded_Total_Sales,Sales_Match,Year,Month,Month_Name,Quarter,Profit_Margin,Shipping_Cost_Ratio
ORD-11886,2023-01-13,Christopher Johansson,Consumer,Nigeria,Middle East & Africa,Furniture,Corner L-Shaped Desk,3,358.6,15,914.43,14.74,254.21,Cash On Delivery,914.43,914.43,True,2023,1,January,1,0.2779983158907735,0.016119331168050043
ORD-10339,2023-01-14,Susan Davis,Home Office,Australia,Asia Pacific,Furniture,Ergonomic Office Chair,2,446.8,5,848.92,13.59,299.17,Cash On Delivery,848.92,848.92,True,2023,1,January,1,0.3524124770296377,0.01600857560194129
ORD-10402,2023-01-14,Jamal Schmidt,Consumer,Mexico,North America,Furniture,Folding Table Portable,6,96.58,0,579.48,10.22,221.57,Credit Card,579.48,579.48,True,2023,1,January,1,0.3823600469386346,0.017636501691171397
ORD-10560,2023-01-14,Sarah Davis,Home Office,Italy,Europe,Clothing & Accessories,Wool Blend Scarf,1,27.9,5,26.5,8.93,3.62,Paypal,26.5,26.5,True,2023,1,January,1,0.13660377358490566,0.3369811320754717
ORD-10686,2023-01-15,Clara Smith,Corporate,Colombia,South America,Office Supplies,Whiteboard Markers Set 8,5,9.91,25,37.16,20.73,-5.87,Cash On Delivery,37.16,37.16,True,2023,1,January,1,-0.1579655543595264,0.5578579117330463
ORD-11718,2023-01-15,Robert Khan,Consumer,Colombia,South America,Clothing & Accessories,Wool Blend Scarf,2,47.0,10,84.6,14.83,22.77,Credit Card,84.6,84.6,True,2023,1,January,1,0.2691489361702128,0.17529550827423168
ORD-10736,2023-01-17,Jennifer Russo,Home Office,United States,North America,Technology,Smart LED Desk Lamp,2,32.91,0,65.82,7.55,22.07,Paypal,65.82,65.82,True,2023,1,January,1,0.335308416894561,0.11470677605591006
ORD-10846,2023-01-17,Yuki Costa,Corporate,Uae,Middle East & Africa,Office Supplies,Sticky Notes Multicolor 6-Pack,2,11.41,5,21.68,15.26,-3.85,Bank Transfer,21.68,21.68,True,2023,1,January,1,-0.1775830258302583,0.7038745387453874
ORD-11128,2023-01-18,Amir Oliveira,Consumer,Mexico,North America,Furniture,Standing Desk Converter,5,333.59,10,1501.16,9.02,491.36,Credit Card,1501.16,1501.15,True,2023,1,January,1,0.32732020570758613,0.00600868661568387
ORD-10279,2023-01-20,Ivan Zhang,Consumer,Uae,Middle East & Africa,Office Supplies,Desk Calendar 2025,7,10.6,20,59.36,18.26,7.71,Bank Transfer,59.36,59.36,True,2023,1,January,1,0.12988544474393532,0.30761455525606474
ORD-10344,2023-01-20,Sakura Martinez,Home Office,Australia,Asia Pacific,Furniture,Floating Wall Shelves Set,2,67.38,5,128.02,11.0,36.16,Cash On Delivery,128.02,128.02,True,2023,1,January,1,0.28245586627089514,0.08592407436338072
ORD-10589,2023-01-20,Mary Davis,Consumer,Argentina,South America,Technology,Portable External SSD 1TB,4,121.25,0,485.0,18.53,199.72,Paypal,485.0,485.0,True,2023,1,January,1,0.4117938144329897,0.03820618556701031
ORD-11029,2023-01-20,Karen Rossi,Home Office,Japan,Asia Pacific,Office Supplies,Whiteboard Markers Set 8,4,19.92,0,79.68,16.01,27.81,Cash On Delivery,79.68,79.68,True,2023,1,January,1,0.34902108433734935,0.20092871485943775
ORD-11026,2023-01-22,Chen Singh,Consumer,China,Asia Pacific,Technology,Smart LED Desk Lamp,3,34.98,5,99.69,14.67,27.3,Credit Card,99.69,99.69,True,2023,1,January,1,0.27384893168823354,0.14715618417092988
ORD-10968,2023-01-23,Wei Müller,Consumer,Canada,North America,Furniture,Floating Wall Shelves Set,4,37.18,5,141.28,12.28,39.77,Credit Card,141.28,141.28,True,2023,1,January,1,0.2814977349943375,0.08691959229898075
ORD-11723,2023-01-23,Raj Costa,Consumer,United Kingdom,Europe,Office Supplies,Stapler Full-Size,1,8.54,15,7.26,7.97,-4.55,Credit Card,7.26,7.26,True,2023,1,January,1,-0.6267217630853994,1.0977961432506886
ORD-10408,2023-01-24,Hanna Sato,Consumer,Germany,Europe,Office Supplies,Paper Clips Box 500pc,2,8.53,5,16.21,9.3,-0.77,Credit Card,16.21,16.21,True,2023,1,January,1,-0.047501542257865514,0.5737199259716225
ORD-11828,2023-01-24,Sarah Zhang,Home Office,South Africa,Middle East & Africa,Clothing & Accessories,Canvas Messenger Bag,4,57.87,20,185.18,13.88,55.56,Paypal,185.18,185.18,True,2023,1,January,1,0.3000324009072254,0.07495409871476401
ORD-11035,2023-01-25,Linda Russo,Corporate,Italy,Europe,Office Supplies,Whiteboard Markers Set 8,8,15.41,10,110.95,21.9,33.57,Paypal,110.95,110.95,True,2023,1,January,1,0.3025687246507436,0.1973862100045065
ORD-10599,2023-01-26,Chen Laurent,Consumer,United States,North America,Technology,Mechanical Gaming Keyboard,1,167.57,5,159.19,6.21,60.82,Paypal,159.19,159.19,True,2023,1,January,1,0.38205917457126704,0.03900998806457692
ORD-10780,2023-01-27,David Anderson,Consumer,Saudi Arabia,Middle East & Africa,Furniture,Ergonomic Office Chair,2,212.13,0,424.26,14.72,154.98,Cash On Delivery,424.26,424.26,True,2023,1,January,1,0.3652948663555367,0.034695705463630794
ORD-10636,2023-01-28,Ayumi Tanaka,Corporate,South Korea,Asia Pacific,Office Supplies,Ballpoint Pen Pack 12,5,9.02,15,38.33,17.7,0.34,Credit Card,38.33,38.33,True,2023,1,January,1,0.008870336551004436,0.46177928515523087
ORD-10694,2023-01-28,Susan Johansson,Consumer,Mexico,North America,Technology,Webcam HD 1080p,3,55.78,0,167.34,9.38,65.92,Credit Card,167.34,167.34,True,2023,1,January,1,0.39392852874387474,0.056053543683518586
ORD-10711,2023-01-28,Mary Ferrari,Consumer,United Kingdom,Europe,Office Supplies,Premium Notebook Set A5,5,10.25,0,51.25,18.89,9.3,Paypal,51.25,51.25,True,2023,1,January,1,0.18146341463414636,0.36858536585365853
ORD-10383,2023-01-29,Michael Harris,Home Office,Argentina,South America,Clothing & Accessories,Canvas Messenger Bag,1,54.25,0,54.25,11.58,15.54,Credit Card,54.25,54.25,True,2023,1,January,1,0.2864516129032258,0.2134562211981567
ORD-10435,2023-01-30,Priya Martin,Consumer,Canada,North America,Office Supplies,Stapler Full-Size,4,16.61,5,63.12,8.4,24.82,Bank Transfer,63.12,63.12,True,2023,1,January,1,0.3932192648922687,0.13307984790874525
ORD-10017,2023-01-31,Kenji Nilsson,Home Office,Japan,Asia Pacific,Clothing & Accessories,Silk Tie Collection,3,18.32,0,54.96,12.91,14.57,Credit Card,54.96,54.96,True,2023,1,January,1,0.2651018922852984,0.2348981077147016
ORD-11220,2023-01-31,Amir Hassan,Consumer,United States,North America,Clothing & Accessories,Cotton Formal Shirt,4,53.6,0,214.4,8.52,98.68,Paypal,214.4,214.4,True,2023,1,January,1,0.4602611940298508,0.03973880597014925
ORD-11237,2023-01-31,Ahmed Garcia,Home Office,India,Asia Pacific,Furniture,Corner L-Shaped Desk,4,429.23,5,1631.07,12.2,588.72,Credit Card,1631.07,1631.07,True,2023,1,January,1,0.36094097739520686,0.0074797525550712105
ORD-11655,2023-01-31,Li Wang,Corporate,Brazil,South America,Technology,USB-C Hub Multiport Adapter,2,28.99,10,52.18,12.7,7.59,Credit Card,52.18,52.18,True,2023,1,January,1,0.14545802989651208,0.24338827136834035
ORD-11858,2023-01-31,Ava Martinez,Corporate,Nigeria,Middle East & Africa,Office Supplies,Binder Clips Assorted 48pc,3,8.65,5,24.65,17.04,-4.07,Credit Card,24.65,24.65,True,2023,1,January,1,-0.16511156186612577,0.6912778904665314
ORD-10787,2023-02-01,Ahmed Clark,Consumer,Canada,North America,Technology,Tablet Stand Holder,3,19.94,0,59.82,8.61,18.31,Bank Transfer,59.82,59.82,True,2023,2,February,1,0.3060849214309595,0.14393179538615847
ORD-10950,2023-02-02,William Sharma,Corporate,Italy,Europe,Technology,Webcam HD 1080p,6,32.72,5,186.5,10.11,68.41,Paypal,186.5,186.5,True,2023,2,February,1,0.3668096514745308,0.05420911528150134
ORD-10374,2023-02-03,Felix Smith,Corporate,Colombia,South America,Clothing & Accessories,Canvas Messenger Bag,12,25.43,5,289.9,23.56,113.76,Bank Transfer,289.9,289.9,True,2023,2,February,1,0.3924111762676786,0.08126940324249741
ORD-10745,2023-02-03,Yuki Kumar,Corporate,Canada,North America,Furniture,Standing Desk Converter,4,274.83,10,989.39,10.28,319.52,Credit Card,989.39,989.39,True,2023,2,February,1,0.3229464619614105,0.010390240451187095
ORD-11670,2023-02-03,Jamal Rossi,Corporate,South Korea,Asia Pacific,Furniture,Floating Wall Shelves Set,1,60.16,15,51.14,10.85,4.19,Bank Transfer,51.14,51.14,True,2023,2,February,1,0.08193195150567072,0.2121626906531091
ORD-11158,2023-02-04,Maria Sharma,Home Office,Japan,Asia Pacific,Office Supplies,Desk Calendar 2025,10,8.37,15,71.14,24.19,9.29,Cash On Delivery,71.14,71.14,True,2023,2,February,1,0.13058757379814448,0.3400337362946303
ORD-11430,2023-02-04,Karen Martinez,Home Office,Colombia,South America,Office Supplies,Paper Clips Box 500pc,1,4.78,10,4.3,11.84,-9.69,Bank Transfer,4.3,4.3,True,2023,2,February,1,-2.2534883720930234,2.7534883720930234
ORD-11760,2023-02-04,Sakura Thomas,Corporate,Argentina,South America,Technology,Webcam HD 1080p,7,79.23,15,471.42,19.84,146.54,Cash On Delivery,471.42,471.42,True,2023,2,February,1,0.3108480760256247,0.04208561367782444
ORD-10720,2023-02-05,Hans Chen,Consumer,Germany,Europe,Furniture,Bookshelf 5-Tier,1,188.93,5,179.48,9.2,56.92,Cash On Delivery,179.48,179.48,True,2023,2,February,1,0.31713839982170716,0.05125919322487185
ORD-11218,2023-02-05,Lucas Sharma,Consumer,Brazil,South America,Clothing & Accessories,Business Casual Blazer,10,138.7,15,1178.95,17.36,468.09,Credit Card,1178.95,1178.95,True,2023,2,February,1,0.3970397387505831,0.014724967131769793
ORD-10384,2023-02-07,Giulia Leroy,Consumer,China,Asia Pacific,Clothing & Accessories,Sports Water Bottle 750ml,1,8.96,0,8.96,11.08,-6.6,Paypal,8.96,8.96,True,2023,2,February,1,-0.7366071428571428,1.2366071428571428
ORD-11503,2023-02-07,Felix Yamamoto,Consumer,Japan,Asia Pacific,Technology,Noise Cancelling Earbuds,2,173.37,0,346.74,10.89,145.14,Paypal,346.74,346.74,True,2023,2,February,1,0.4185845301955355,0.03140681778854473
ORD-11711,2023-02-07,Layla Khan,Home Office,Canada,North America,Technology,Noise Cancelling Earbuds,1,63.94,10,57.55,6.86,15.52,Paypal,57.55,57.55,True,2023,2,February,1,0.2696785403996525,0.11920069504778455
ORD-10098,2023-02-08,Ava Jones,Consumer,Australia,Asia Pacific,Technology,Webcam HD 1080p,3,64.55,10,174.28,13.01,54.76,Credit Card,174.28,174.28,True,2023,2,February,1,0.3142070231810879,0.07464998852421391
ORD-10314,2023-02-08,Sakura Martin,Corporate,Japan,Asia Pacific,Office Supplies,Stapler Full-Size,5,14.53,5,69.02,11.87,24.46,Credit Card,69.02,69.02,True,2023,2,February,1,0.35439003187481893,0.17197913648217908
ORD-10322,2023-02-08,Maria Laurent,Home Office,South Korea,Asia Pacific,Office Supplies,Paper Clips Box 500pc,1,9.63,10,8.67,10.44,-6.1,Paypal,8.67,8.67,True,2023,2,February,1,-0.7035755478662052,1.2041522491349481
ORD-11507,2023-02-09,Zara Suzuki,Consumer,Canada,North America,Furniture,Bookshelf 5-Tier,4,118.02,0,472.08,7.9,180.93,Bank Transfer,472.08,472.08,True,2023,2,February,1,0.3832613116420946,0.01673445178783257
ORD-11683,2023-02-09,Zara Costa,Consumer,United Kingdom,Europe,Furniture,Folding Table Portable,9,126.93,0,1142.37,23.14,433.81,Paypal,1142.37,1142.37,True,2023,2,February,1,0.3797456165690626,0.02025613417719303
ORD-10642,2023-02-10,Olga Kim,Consumer,Argentina,South America,Furniture,Standing Desk Converter,8,289.71,10,2085.91,16.44,678.86,Bank Transfer,2085.91,2085.91,True,2023,2,February,1,0.32545028308987445,0.007881452219894437
ORD-11011,2023-02-10,Hans Kim,Corporate,Japan,Asia Pacific,Clothing & Accessories,Travel Backpack 30L,2,81.58,15,138.69,11.8,45.31,Bank Transfer,138.69,138.69,True,2023,2,February,1,0.32669983416252074,0.08508183719085731
ORD-11270,2023-02-10,Isabella White,Consumer,Germany,Europe,Technology,Portable External SSD 1TB,9,111.98,5,957.43,24.38,378.75,Credit Card,957.43,957.43,True,2023,2,February,1,0.3955902781404385,0.025464002590267695
ORD-11659,2023-02-10,Emma Oliveira,Consumer,Italy,Europe,Clothing & Accessories,Leather Wallet Minimalist,3,45.99,0,137.97,12.68,56.3,Credit Card,137.97,137.97,True,2023,2,February,1,0.40805972312821626,0.09190403710951656
ORD-10256,2023-02-11,Michael Zhang,Consumer,Canada,North America,Office Supplies,Paper Clips Box 500pc,3,4.96,10,13.39,7.09,-0.4,Cash On Delivery,13.39,13.39,True,2023,2,February,1,-0.029873039581777446,0.5294996265870052
ORD-10527,2023-02-12,Hanna Ahmed,Consumer,Saudi Arabia,Middle East & Africa,Clothing & Accessories,Travel Backpack 30L,8,80.13,25,480.78,18.17,142.09,Bank Transfer,480.78,480.78,True,2023,2,February,1,0.29554057989101046,0.0377927534423229
ORD-11082,2023-02-12,Patricia Müller,Consumer,Australia,Asia Pacific,Clothing & Accessories,Wool Blend Scarf,1,43.57,5,41.39,10.06,9.54,Paypal,41.39,41.39,True,2023,2,February,1,0.2304904566320367,0.24305387774824838
ORD-10473,2023-02-15,Kenji Zhang,Corporate,United States,North America,Technology,Noise Cancelling Earbuds,2,143.15,5,271.98,8.58,105.94,Credit Card,271.98,271.99,True,2023,2,February,1,0.38951393484815056,0.03154643723803221
ORD-11304,2023-02-15,Ayumi Martinez,Home Office,Canada,North America,Furniture,Folding Table Portable,8,126.81,10,913.03,22.05,282.29,Cash On Delivery,913.03,913.03,True,2023,2,February,1,0.3091793259805264,0.024150356505262698
ORD-11560,2023-02-16,Ayumi Nilsson,Home Office,Nigeria,Middle East & Africa,Technology,Webcam HD 1080p,1,48.95,0,48.95,12.32,9.71,Paypal,48.95,48.95,True,2023,2,February,1,0.19836567926455567,0.251685393258427
ORD-11196,2023-02-17,Mia Ali,Corporate,United States,North America,Furniture,Monitor Riser Wood,2,47.62,5,90.48,8.3,25.04,Bank Transfer,90.48,90.48,True,2023,2,February,1,0.2767462422634836,0.09173297966401416
ORD-11355,2023-02-17,Lucas Schmidt,Home Office,Australia,Asia Pacific,Technology,Wireless Bluetooth Headphones,1,238.37,15,202.61,11.03,60.48,Credit Card,202.61,202.61,True,2023,2,February,1,0.29850451606534717,0.054439563693795955
ORD-11569,2023-02-17,Barbara Davis,Consumer,United Kingdom,Europe,Clothing & Accessories,Cotton Formal Shirt,5,39.22,10,176.49,17.7,60.74,Credit Card,176.49,176.49,True,2023,2,February,1,0.34415547623094794,0.1002889682134965
ORD-10916,2023-02-18,Jessica Wang,Corporate,South Korea,Asia Pacific,Clothing & Accessories,Business Casual Blazer,2,72.23,20,115.57,13.08,30.26,Credit Card,115.57,115.57,True,2023,2,February,1,0.261832655533443,0.11317816042225491
ORD-10837,2023-02-19,Jamal Zhang,Consumer,Nigeria,Middle East & Africa,Clothing & Accessories,Leather Belt Classic,3,35.6,5,101.46,15.03,33.03,Credit Card,101.46,101.46,True,2023,2,February,1,0.3255470136014193,0.14813719692489652
ORD-10855,2023-02-19,Felix Johansson,Consumer,Canada,North America,Office Supplies,Sticky Notes Multicolor 6-Pack,5,4.37,15,18.57,11.28,-2.54,Paypal,18.57,18.57,True,2023,2,February,1,-0.1367797522886376,0.6074313408723747
ORD-11065,2023-02-19,Priya Wang,Consumer,France,Europe,Clothing & Accessories,Silk Tie Collection,2,20.92,0,41.84,10.6,10.32,Cash On Delivery,41.84,41.84,True,2023,2,February,1,0.24665391969407263,0.2533460803059273
ORD-11922,2023-02-20,Sophie Park,Consumer,Mexico,North America,Clothing & Accessories,Leather Belt Classic,4,54.4,5,206.72,7.53,90.39,Cash On Delivery,206.72,206.72,True,2023,2,February,1,0.4372581269349845,0.036426083591331274
ORD-10594,2023-02-21,Ayumi Khan,Consumer,United States,North America,Technology,Smart LED Desk Lamp,8,72.89,0,583.12,14.27,248.13,Credit Card,583.12,583.12,True,2023,2,February,1,0.42552133351625737,0.024471806832212922
ORD-11419,2023-02-21,Michael Davis,Consumer,China,Asia Pacific,Furniture,Desk Organizer Set,6,54.39,0,326.34,17.34,113.2,Paypal,326.34,326.34,True,2023,2,February,1,0.3468774897346326,0.05313476742048171
ORD-11624,2023-02-21,Felix Thompson,Consumer,Canada,North America,Furniture,Ergonomic Office Chair,6,472.56,0,2835.36,19.09,1115.05,Paypal,2835.36,2835.36,True,2023,2,February,1,0.39326575814005976,0.006732831104339484
ORD-11855,2023-02-21,Hans Johnson,Consumer,Australia,Asia Pacific,Technology,Noise Cancelling Earbuds,1,133.63,0,133.63,9.94,50.19,Paypal,133.63,133.63,True,2023,2,February,1,0.3755893137768465,0.07438449449973808
ORD-10843,2023-02-22,Jennifer Moreau,Corporate,Canada,North America,Technology,Tablet Stand Holder,2,32.06,0,64.12,7.82,21.03,Cash On Delivery,64.12,64.12,True,2023,2,February,1,0.32797878976918277,0.12195882719900186
ORD-11306,2023-02-22,Mia Müller,Home Office,United Kingdom,Europe,Technology,Wireless Ergonomic Mouse,4,36.01,15,122.43,10.44,32.77,Credit Card,122.43,122.43,True,2023,2,February,1,0.2676631544556073,0.08527321734868903
ORD-10392,2023-02-23,Priya Martinez,Corporate,United States,North America,Office Supplies,Paper Clips Box 500pc,4,7.24,10,26.06,8.85,4.18,Credit Card,26.06,26.06,True,2023,2,February,1,0.16039907904834996,0.33960092095165006
ORD-11302,2023-02-23,Fatima Suzuki,Home Office,Brazil,South America,Technology,Wireless Ergonomic Mouse,3,60.99,0,182.97,12.03,70.31,Credit Card,182.97,182.97,True,2023,2,February,1,0.38427064546100453,0.06574848335792753
ORD-11205,2023-02-24,Zara White,Consumer,France,Europe,Office Supplies,Binder Clips Assorted 48pc,6,7.14,0,42.84,12.59,10.97,Paypal,42.84,42.84,True,2023,2,February,1,0.2560690943043884,0.29388422035480855
ORD-10892,2023-02-25,Felix Moreau,Consumer,Spain,Europe,Office Supplies,Sticky Notes Multicolor 6-Pack,2,8.06,15,13.7,10.44,-3.99,Bank Transfer,13.7,13.7,True,2023,2,February,1,-0.29124087591240877,0.762043795620438
ORD-11175,2023-02-25,Ethan Hassan,Corporate,China,Asia Pacific,Clothing & Accessories,Travel Backpack 30L,2,31.71,5,60.25,10.63,17.91,Bank Transfer,60.25,60.25,True,2023,2,February,1,0.29726141078838175,0.17643153526970956
ORD-11598,2023-02-26,Ingrid Schmidt,Consumer,Italy,Europe,Furniture,Folding Table Portable,6,82.3,0,493.8,12.43,185.09,Paypal,493.8,493.8,True,2023,2,February,1,0.3748278655326043,0.025172134467395704
ORD-10113,2023-02-27,Mia Harris,Consumer,United States,North America,Technology,Webcam HD 1080p,1,77.48,0,77.48,7.16,27.71,Paypal,77.48,77.48,True,2023,2,February,1,0.35764068146618483,0.09241094475993805
ORD-10646,2023-02-27,Sophie Harris,Consumer,Argentina,South America,Office Supplies,Paper Clips Box 500pc,9,7.24,0,65.16,18.95,16.89,Paypal,65.16,65.16,True,2023,2,February,1,0.2592081031307551,0.29082259054634746
ORD-11378,2023-02-27,Michael Hassan,Corporate,India,Asia Pacific,Office Supplies,Ballpoint Pen Pack 12,12,5.63,5,64.18,31.26,2.52,Credit Card,64.18,64.18,True,2023,2,February,1,0.03926456840137114,0.48706762231224676
ORD-11900,2023-02-27,Oscar Jones,Consumer,Canada,North America,Clothing & Accessories,Silk Tie Collection,2,26.25,10,47.25,6.27,14.73,Credit Card,47.25,47.25,True,2023,2,February,1,0.31174603174603177,0.13269841269841268
ORD-11523,2023-03-01,Giulia Ali,Consumer,South Korea,Asia Pacific,Technology,Noise Cancelling Earbuds,2,135.29,0,270.58,10.07,111.69,Cash On Delivery,270.58,270.58,True,2023,3,March,1,0.41277995417251834,0.037216350062828
ORD-10233,2023-03-02,Fatima Rossi,Consumer,Australia,Asia Pacific,Furniture,Desk Organizer Set,1,24.66,0,24.66,11.27,-1.41,Credit Card,24.66,24.66,True,2023,3,March,1,-0.057177615571776155,0.4570154095701541
ORD-10605,2023-03-02,Yuki Patel,Corporate,Japan,Asia Pacific,Technology,Mechanical Gaming Keyboard,4,165.1,5,627.38,15.44,248.72,Credit Card,627.38,627.38,True,2023,3,March,1,0.3964423475405655,0.024610284038381842
ORD-10907,2023-03-02,Mia Clark,Consumer,Italy,Europe,Office Supplies,Stapler Full-Size,2,11.57,25,17.36,8.09,-1.14,Cash On Delivery,17.36,17.36,True,2023,3,March,1,-0.06566820276497695,0.46601382488479265
ORD-11202,2023-03-02,Mary Smith,Home Office,United States,North America,Furniture,Mesh Back Task Chair,1,113.52,10,102.17,7.35,26.71,Credit Card,102.17,102.17,True,2023,3,March,1,0.2614270333757463,0.07193892532054419
ORD-11294,2023-03-02,Ayumi Suzuki,Corporate,Australia,Asia Pacific,Office Supplies,Whiteboard Markers Set 8,4,9.18,20,29.38,12.6,0.26,Paypal,29.38,29.38,True,2023,3,March,1,0.008849557522123894,0.42886317222600406
ORD-11673,2023-03-02,Elizabeth Moreau,Home Office,Australia,Asia Pacific,Technology,Wireless Bluetooth Headphones,2,201.32,0,402.64,13.72,167.47,Paypal,402.64,402.64,True,2023,3,March,1,0.41592986290482814,0.034075104311543813
ORD-11217,2023-03-04,Jamal Martinez,Consumer,Canada,North America,Technology,Mechanical Gaming Keyboard,9,90.24,10,730.94,18.86,265.39,Credit Card,730.94,730.94,True,2023,3,March,1,0.3630804169972911,0.02580239144115796
ORD-10246,2023-03-05,Barbara Ali,Corporate,Australia,Asia Pacific,Office Supplies,Stapler Full-Size,1,18.57,0,18.57,9.91,0.3,Credit Card,18.57,18.57,True,2023,3,March,1,0.01615508885298869,0.5336564351103931
ORD-11135,2023-03-06,Lucas Anderson,Consumer,United Kingdom,Europe,Clothing & Accessories,Polarized Sunglasses,3,29.57,10,79.84,10.88,24.6,Bank Transfer,79.84,79.84,True,2023,3,March,1,0.30811623246492986,0.13627254509018036
ORD-10620,2023-03-07,Omar Garcia,Consumer,China,Asia Pacific,Office Supplies,Premium Notebook Set A5,1,11.17,20,8.94,10.07,-6.16,Credit Card,8.94,8.94,True,2023,3,March,1,-0.6890380313199106,1.1263982102908279
ORD-11279,2023-03-07,Clara Miller,Consumer,United States,North America,Office Supplies,Tape Dispenser Heavy Duty,8,20.92,0,167.36,18.97,73.08,Bank Transfer,167.36,167.36,True,2023,3,March,1,0.4366634799235181,0.1133484703632887
ORD-10124,2023-03-08,David Harris,Corporate,Italy,Europe,Office Supplies,Whiteboard Markers Set 8,5,11.95,10,53.78,14.79,12.09,Credit Card,53.78,53.77,True,2023,3,March,1,0.22480476013387876,0.2750092971364819
ORD-10242,2023-03-08,James Chen,Home Office,Spain,Europe,Furniture,Folding Table Portable,3,59.88,20,143.71,9.34,26.59,Bank Transfer,143.71,143.71,True,2023,3,March,1,0.18502539837172083,0.06499199777329344
ORD-10915,2023-03-08,Ahmed Harris,Consumer,Brazil,South America,Furniture,Floating Wall Shelves Set,6,99.69,0,598.14,18.01,221.25,Credit Card,598.14,598.14,True,2023,3,March,1,0.369896679707092,0.030110007690507243
